order_id,customer_id,order_date,region
1,265,2022-02-08 00:00:00,Oceania
2,59,2022-06-16 00:00:00,North America
3,530,2023-04-23 00:00:00,Oceania
4,8,2023-11-08 00:00:00,North America
5,942,2024-02-06 00:00:00,Europe
6,88,2023-01-01 00:00:00,Europe
7,407,2023-02-25 00:00:00,Oceania
8,856,2023-12-30 00:00:00,Asia
9,835,2023-05-11 00:00:00,Europe
10,324,2022-05-14 00:00:00,Asia
11,321,2024-01-16 00:00:00,Oceania
12,790,2022-04-04 00:00:00,Asia
13,61,2023-06-18 00:00:00,Europe
14,102,2024-04-12 00:00:00,Europe
15,354,2024-01-17 00:00:00,Oceania
16,822,2022-06-11 00:00:00,Oceania
17,309,2022-06-10 00:00:00,North America
18,996,2023-09-23 00:00:00,Europe
19,192,2022-10-21 00:00:00,Europe
20,843,2022-06-21 00:00:00,Oceania
21,130,2022-04-24 00:00:00,North America
22,479,2023-01-13 00:00:00,Oceania
23,443,2023-02-07 00:00:00,Oceania
24,751,2024-04-13 00:00:00,Oceania
25,40,2022-07-01 00:00:00,North America
26,218,2023-12-08 00:00:00,Asia
27,631,2023-07-07 00:00:00,Europe
28,105,2022-09-22 00:00:00,North America
29,798,2023-08-27 00:00:00,Asia
30,771,2023-03-14 00:00:00,North America
31,393,2022-08-06 00:00:00,Oceania
32,665,2023-12-25 00:00:00,Oceania
33,973,2022-12-23 00:00:00,Europe
34,613,2023-02-23 00:00:00,Europe
35,486,2023-05-20 00:00:00,North America
36,569,2022-07-14 00:00:00,Europe
37,195,2023-10-23 00:00:00,North America
38,519,2023-09-05 00:00:00,Europe
39,382,2022-08-11 00:00:00,Asia
40,970,2023-01-05 00:00:00,Europe
41,956,2022-01-30 00:00:00,Asia
42,3,2023-08-21 00:00:00,Europe
43,811,2023-01-12 00:00:00,Asia
44,505,2022-04-15 00:00:00,Asia
45,354,2024-02-06 00:00:00,Europe
46,894,2023-10-11 00:00:00,Oceania
47,403,2024-02-05 00:00:00,Oceania
48,368,2023-07-06 00:00:00,Asia
49,898,2022-07-19 00:00:00,Asia
50,918,2022-12-31 00:00:00,Asia
51,77,2023-09-29 00:00:00,Europe
52,455,2022-07-06 00:00:00,Oceania
53,188,2022-07-16 00:00:00,Europe
54,159,2023-07-13 00:00:00,Europe
55,684,2023-12-26 00:00:00,Europe
56,670,2022-09-29 00:00:00,Europe
57,24,2024-01-13 00:00:00,Europe
58,373,2022-11-15 00:00:00,Europe
59,714,2024-02-20 00:00:00,Asia
60,187,2023-01-22 00:00:00,Asia
61,636,2023-08-30 00:00:00,Oceania
62,139,2023-09-20 00:00:00,Europe
63,867,2023-07-14 00:00:00,Asia
64,302,2023-02-09 00:00:00,Europe
65,915,2022-12-07 00:00:00,Europe
66,461,2022-09-29 00:00:00,Oceania
67,983,2022-09-13 00:00:00,Asia
68,145,2023-06-02 00:00:00,Oceania
69,64,2023-03-31 00:00:00,North America
70,636,2023-06-16 00:00:00,Asia
71,906,2023-08-24 00:00:00,Europe
72,325,2023-02-27 00:00:00,North America
73,872,2022-04-18 00:00:00,Asia
74,258,2022-05-03 00:00:00,Oceania
75,28,2022-08-11 00:00:00,Oceania
76,688,2023-05-21 00:00:00,Europe
77,302,2024-02-05 00:00:00,Oceania
78,17,2022-12-19 00:00:00,Oceania
79,326,2022-09-02 00:00:00,Europe
80,520,2022-03-16 00:00:00,North America
81,471,2024-03-12 00:00:00,Asia
82,758,2024-05-25 00:00:00,Oceania
83,651,2022-04-08 00:00:00,North America
84,1000,2024-05-06 00:00:00,Oceania
85,683,2023-02-18 00:00:00,Asia
86,937,2023-01-30 00:00:00,Europe
87,687,2023-09-24 00:00:00,Oceania
88,368,2023-07-29 00:00:00,Oceania
89,895,2022-05-10 00:00:00,North America
90,502,2022-07-15 00:00:00,North America
91,375,2022-03-04 00:00:00,Asia
92,17,2022-08-08 00:00:00,North America
93,220,2022-05-31 00:00:00,North America
94,875,2024-02-01 00:00:00,Europe
95,809,2022-05-21 00:00:00,Oceania
96,454,2022-04-26 00:00:00,Asia
97,642,2022-02-01 00:00:00,North America
98,332,2023-08-28 00:00:00,Europe
99,662,2023-05-12 00:00:00,North America
100,704,2023-11-13 00:00:00,Asia
101,939,2023-07-01 00:00:00,North America
102,62,2023-12-06 00:00:00,Oceania
103,361,2024-01-21 00:00:00,Oceania
104,362,2022-04-16 00:00:00,Europe
105,911,2023-08-21 00:00:00,Asia
106,212,2023-09-05 00:00:00,Oceania
107,881,2022-06-06 00:00:00,Europe
108,494,2024-03-09 00:00:00,North America
109,568,2022-09-27 00:00:00,North America
