order_item_id,order_id,product_id,quantity,discount
1,1313,21,3,0.05
2,5023,1,4,0.05
3,1600,6,4,0.1
4,5244,42,2,0.15
5,2406,8,1,0.05
6,32,3,4,0.05
7,2944,27,3,0.05
8,4810,45,3,0.05
9,1865,32,1,0.05
10,4289,25,4,0.1
11,3941,39,2,0.15
12,105,37,2,0.1
13,1814,23,3,0.05
14,115,29,4,0.05
15,5558,17,1,0.05
16,4799,11,2,0.05
17,2685,36,3,0.1
18,85,29,2,0
19,1545,5,1,0.05
20,5553,20,1,0
21,5562,10,1,0.1
22,2814,4,2,0.1
23,3201,11,4,0.05
24,2680,16,1,0
25,609,48,1,0
26,5534,18,3,0.1
27,4771,40,4,0.05
28,4732,27,2,0.1
29,29,21,1,0.1
30,3224,24,2,0.1
31,3194,20,4,0.1
32,5727,23,4,0.15
33,3903,22,4,0.15
34,2275,44,1,0.15
35,489,26,1,0.15
36,846,13,1,0
37,263,48,2,0.1
38,4609,50,3,0.15
39,5903,38,2,0.15
40,472,36,2,0
41,2551,11,2,0.05
42,4617,47,3,0.15
43,4141,7,4,0.05
44,4265,30,1,0.15
45,5907,7,1,0.05
46,2698,43,3,0
47,4902,42,1,0.15
48,2317,20,2,0.15
49,1346,48,3,0
50,4927,32,2,0.1
51,1487,25,1,0.15
52,2636,32,4,0.05
53,5089,14,3,0
54,3227,9,1,0
55,735,13,1,0.1
56,4038,33,4,0.1
57,3396,41,1,0.1
58,2562,48,3,0.05
59,691,46,2,0
60,3762,40,3,0
61,734,38,4,0.1
62,561,17,4,0.1
63,1184,27,1,0
64,3542,33,1,0.05
65,5511,10,3,0.05
66,4114,21,1,0
67,1122,29,2,0.15
68,5133,29,4,0.05
69,5907,38,1,0.1
70,4651,45,4,0.15
71,4179,44,1,0.15
72,5732,32,1,0.05
73,3951,47,3,0.1
74,5521,38,2,0
75,2706,23,4,0.05
76,1871,18,3,0
77,372,43,3,0.1
78,1203,50,2,0.1
79,1916,31,4,0.15
80,1215,24,3,0
81,79,5,3,0.1
82,3667,36,2,0.05
83,2822,32,2,0
84,4649,37,3,0.15
85,3952,38,4,0
86,1465,14,3,0
87,5790,16,1,0.05
88,335,45,3,0.05
89,4369,16,2,0.05
90,1046,23,3,0.1
91,5677,36,2,0.05
92,931,37,2,0
93,2655,29,3,0.1
94,4429,43,3,0.05
95,271,10,4,0.05
96,3015,18,2,0
97,5625,36,1,0.15
98,1392,32,4,0.05
99,4232,21,3,0
100,1206,41,3,0.1
101,2363,7,4,0.05
102,1662,40,1,0
103,61,11,1,0.1
104,1444,7,3,0.15
105,4700,19,4,0.1
106,1948,25,1,0
107,2204,44,4,0
108,634,16,3,0.05
109,5268,14,1,0.15
110,2933,20,1,0.05
111,2477,33,2,0
112,4807,44,1,0.1
113,1556,34,2,0.1
114,4138,32,2,0
115,792,22,1,0.05
116,643,24,4,0
117,2636,47,3,0
